"pregunta","session_id","respID","assigned_module","tiempo_seg","duracion_seg","modulo"
"adc_qstn","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",591,17,"C"
"adc_qstn","8b36e349b41b3f2124b8a400b1a86c73","427","C",1427,28,"C"
"adc_qstn","d4016b359cf452bb9803d995573faa55","1366","C",1842,45,"C"
"cargo_1","ef0c502372f31a492b927f5d155be93b","1632","B",821,158,"B"
"cargo_3","5b57a0239c6a2f0818c225f70c64de20","107","B",406,26,"B"
"cargo_4","5b57a0239c6a2f0818c225f70c64de20","107","B",409,3,"B"
"cargo_5","5b57a0239c6a2f0818c225f70c64de20","107","B",412,3,"B"
"cbc_practice","184c65d28b5fb5b7598a47fd38a2c28c","817","A",101,57,"Todos"
"cbc_practice","587ea63e15d02cdc5d5b7cf32863468f","945","A",221,142,"Todos"
"cbc_practice","5b57a0239c6a2f0818c225f70c64de20","107","B",111,79,"Todos"
"cbc_practice","65c8034d02597029fb8cb173566ee156","1806","A",239,159,"Todos"
"cbc_practice","7b7b0ed285d09470388cd290d8412d86","1444","C",310,207,"Todos"
"cbc_practice","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",126,81,"Todos"
"cbc_practice","8b36e349b41b3f2124b8a400b1a86c73","427","C",253,155,"Todos"
"cbc_practice","c3d59c00b8aeaae726419f0892137791","821","A",257,175,"Todos"
"cbc_practice","d4016b359cf452bb9803d995573faa55","1366","C",295,216,"Todos"
"cbc_practice","ef0c502372f31a492b927f5d155be93b","1632","B",218,116,"Todos"
"cbc_practice","fe0a82c9f482f181091877895bee0721","98","A",56,16,"Todos"
"cbc_q1","5b57a0239c6a2f0818c225f70c64de20","107","B",177,53,"Todos"
"cbc_q1","65c8034d02597029fb8cb173566ee156","1806","A",336,63,"Todos"
"cbc_q1","78413d19dbb7f6391eb539df32d89434","1803","B",300,62,"Todos"
"cbc_q1","7b7b0ed285d09470388cd290d8412d86","1444","C",756,146,"Todos"
"cbc_q1","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",190,37,"Todos"
"cbc_q1","c3d59c00b8aeaae726419f0892137791","821","A",327,11,"Todos"
"cbc_q1","d4016b359cf452bb9803d995573faa55","1366","C",473,74,"Todos"
"cbc_q1","ef0c502372f31a492b927f5d155be93b","1632","B",334,85,"Todos"
"cbc_q2","184c65d28b5fb5b7598a47fd38a2c28c","817","A",219,96,"Todos"
"cbc_q2","587ea63e15d02cdc5d5b7cf32863468f","945","A",330,84,"Todos"
"cbc_q2","5b57a0239c6a2f0818c225f70c64de20","107","B",211,34,"Todos"
"cbc_q2","65c8034d02597029fb8cb173566ee156","1806","A",388,52,"Todos"
"cbc_q2","78413d19dbb7f6391eb539df32d89434","1803","B",333,33,"Todos"
"cbc_q2","7b7b0ed285d09470388cd290d8412d86","1444","C",764,8,"Todos"
"cbc_q2","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",213,23,"Todos"
"cbc_q2","8b36e349b41b3f2124b8a400b1a86c73","427","C",597,315,"Todos"
"cbc_q2","c3d59c00b8aeaae726419f0892137791","821","A",361,34,"Todos"
"cbc_q2","d4016b359cf452bb9803d995573faa55","1366","C",560,87,"Todos"
"cbc_q3","184c65d28b5fb5b7598a47fd38a2c28c","817","A",244,25,"Todos"
"cbc_q3","587ea63e15d02cdc5d5b7cf32863468f","945","A",371,41,"Todos"
"cbc_q3","5b57a0239c6a2f0818c225f70c64de20","107","B",241,30,"Todos"
"cbc_q3","65c8034d02597029fb8cb173566ee156","1806","A",430,42,"Todos"
"cbc_q3","78413d19dbb7f6391eb539df32d89434","1803","B",368,35,"Todos"
"cbc_q3","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",249,36,"Todos"
"cbc_q3","8b36e349b41b3f2124b8a400b1a86c73","427","C",672,75,"Todos"
"cbc_q3","c3d59c00b8aeaae726419f0892137791","821","A",385,24,"Todos"
"cbc_q3","d4016b359cf452bb9803d995573faa55","1366","C",719,159,"Todos"
"cbc_q3","ef0c502372f31a492b927f5d155be93b","1632","B",399,65,"Todos"
"cbc_q4","587ea63e15d02cdc5d5b7cf32863468f","945","A",398,27,"Todos"
"cbc_q4","5b57a0239c6a2f0818c225f70c64de20","107","B",270,29,"Todos"
"cbc_q4","65c8034d02597029fb8cb173566ee156","1806","A",468,38,"Todos"
"cbc_q4","78413d19dbb7f6391eb539df32d89434","1803","B",562,194,"Todos"
"cbc_q4","7b7b0ed285d09470388cd290d8412d86","1444","C",797,33,"Todos"
"cbc_q4","8b36e349b41b3f2124b8a400b1a86c73","427","C",787,115,"Todos"
"cbc_q4","d4016b359cf452bb9803d995573faa55","1366","C",843,124,"Todos"
"cbc_q4","ef0c502372f31a492b927f5d155be93b","1632","B",431,32,"Todos"
"cbc_q5","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1103,859,"Todos"
"cbc_q5","587ea63e15d02cdc5d5b7cf32863468f","945","A",417,19,"Todos"
"cbc_q5","5b57a0239c6a2f0818c225f70c64de20","107","B",291,21,"Todos"
"cbc_q5","65c8034d02597029fb8cb173566ee156","1806","A",500,32,"Todos"
"cbc_q5","78413d19dbb7f6391eb539df32d89434","1803","B",598,36,"Todos"
"cbc_q5","7b7b0ed285d09470388cd290d8412d86","1444","C",810,13,"Todos"
"cbc_q5","d4016b359cf452bb9803d995573faa55","1366","C",893,50,"Todos"
"cbc_q5","ef0c502372f31a492b927f5d155be93b","1632","B",459,28,"Todos"
"cbc_q6","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1148,45,"Todos"
"cbc_q6","587ea63e15d02cdc5d5b7cf32863468f","945","A",454,37,"Todos"
"cbc_q6","5b57a0239c6a2f0818c225f70c64de20","107","B",306,15,"Todos"
"cbc_q6","65c8034d02597029fb8cb173566ee156","1806","A",546,46,"Todos"
"cbc_q6","78413d19dbb7f6391eb539df32d89434","1803","B",644,46,"Todos"
"cbc_q6","7b7b0ed285d09470388cd290d8412d86","1444","C",813,3,"Todos"
"cbc_q6","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",294,45,"Todos"
"cbc_q6","8b36e349b41b3f2124b8a400b1a86c73","427","C",916,129,"Todos"
"cbc_q6","d4016b359cf452bb9803d995573faa55","1366","C",960,67,"Todos"
"cbc_q6","ef0c502372f31a492b927f5d155be93b","1632","B",483,24,"Todos"
"consent_understand","184c65d28b5fb5b7598a47fd38a2c28c","817","A",23,23,"Todos"
"consent_understand","587ea63e15d02cdc5d5b7cf32863468f","945","A",35,35,"Todos"
"consent_understand","5b57a0239c6a2f0818c225f70c64de20","107","B",8,8,"Todos"
"consent_understand","65c8034d02597029fb8cb173566ee156","1806","A",34,34,"Todos"
"consent_understand","78413d19dbb7f6391eb539df32d89434","1803","B",35,35,"Todos"
"consent_understand","7b7b0ed285d09470388cd290d8412d86","1444","C",43,43,"Todos"
"consent_understand","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",19,19,"Todos"
"consent_understand","852d7cdba3c010f8b1ebdeeee371ab53","749","C",45,45,"Todos"
"consent_understand","8b36e349b41b3f2124b8a400b1a86c73","427","C",43,43,"Todos"
"consent_understand","c3d59c00b8aeaae726419f0892137791","821","A",44,44,"Todos"
"consent_understand","d4016b359cf452bb9803d995573faa55","1366","C",39,39,"Todos"
"consent_understand","ef0c502372f31a492b927f5d155be93b","1632","B",41,41,"Todos"
"consent_understand","fe0a82c9f482f181091877895bee0721","98","A",20,20,"Todos"
"control_1","7b7b0ed285d09470388cd290d8412d86","1444","C",839,26,"C"
"control_1","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",303,9,"C"
"control_1","8b36e349b41b3f2124b8a400b1a86c73","427","C",1011,95,"C"
"control_1","d4016b359cf452bb9803d995573faa55","1366","C",999,39,"C"
"control_2","7b7b0ed285d09470388cd290d8412d86","1444","C",885,46,"C"
"control_2","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",314,11,"C"
"control_2","8b36e349b41b3f2124b8a400b1a86c73","427","C",1036,25,"C"
"control_2","d4016b359cf452bb9803d995573faa55","1366","C",1070,71,"C"
"control_3","7b7b0ed285d09470388cd290d8412d86","1444","C",896,11,"C"
"control_3","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",318,4,"C"
"control_3","8b36e349b41b3f2124b8a400b1a86c73","427","C",1048,12,"C"
"control_3","d4016b359cf452bb9803d995573faa55","1366","C",1091,21,"C"
"dec_1","5b57a0239c6a2f0818c225f70c64de20","107","B",359,27,"B"
"dec_1","78413d19dbb7f6391eb539df32d89434","1803","B",689,45,"B"
"dec_1","ef0c502372f31a492b927f5d155be93b","1632","B",574,35,"B"
"dec_2","78413d19dbb7f6391eb539df32d89434","1803","B",705,16,"B"
"dec_3","5b57a0239c6a2f0818c225f70c64de20","107","B",332,26,"B"
"dec_3","ef0c502372f31a492b927f5d155be93b","1632","B",539,56,"B"
"educ_prov","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1568,3,"Todos"
"educ_prov","587ea63e15d02cdc5d5b7cf32863468f","945","A",940,5,"Todos"
"educ_prov","5b57a0239c6a2f0818c225f70c64de20","107","B",537,3,"Todos"
"educ_prov","65c8034d02597029fb8cb173566ee156","1806","A",1018,5,"Todos"
"educ_prov","78413d19dbb7f6391eb539df32d89434","1803","B",905,5,"Todos"
"educ_prov","7b7b0ed285d09470388cd290d8412d86","1444","C",1341,6,"Todos"
"educ_prov","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",726,2,"Todos"
"educ_prov","8b36e349b41b3f2124b8a400b1a86c73","427","C",1513,4,"Todos"
"educ_prov","c3d59c00b8aeaae726419f0892137791","821","A",889,7,"Todos"
"educ_prov","d4016b359cf452bb9803d995573faa55","1366","C",1994,7,"Todos"
"educ_prov","ef0c502372f31a492b927f5d155be93b","1632","B",1087,7,"Todos"
"educ_prov","fe0a82c9f482f181091877895bee0721","98","A",806,1,"Todos"
"education","184c65d28b5fb5b7598a47fd38a2c28c","817","A",44,5,"Todos"
"education","587ea63e15d02cdc5d5b7cf32863468f","945","A",79,-15,"Todos"
"education","5b57a0239c6a2f0818c225f70c64de20","107","B",32,8,"Todos"
"education","65c8034d02597029fb8cb173566ee156","1806","A",80,22,"Todos"
"education","78413d19dbb7f6391eb539df32d89434","1803","B",87,15,"Todos"
"education","7b7b0ed285d09470388cd290d8412d86","1444","C",103,18,"Todos"
"education","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",45,9,"Todos"
"education","8b36e349b41b3f2124b8a400b1a86c73","427","C",98,26,"Todos"
"education","c3d59c00b8aeaae726419f0892137791","821","A",82,13,"Todos"
"education","d4016b359cf452bb9803d995573faa55","1366","C",79,16,"Todos"
"education","ef0c502372f31a492b927f5d155be93b","1632","B",102,23,"Todos"
"education","fe0a82c9f482f181091877895bee0721","98","A",40,5,"Todos"
"efic_1","5b57a0239c6a2f0818c225f70c64de20","107","B",417,5,"B"
"efic_1","78413d19dbb7f6391eb539df32d89434","1803","B",799,51,"B"
"efic_2","5b57a0239c6a2f0818c225f70c64de20","107","B",419,2,"B"
"efic_3","5b57a0239c6a2f0818c225f70c64de20","107","B",421,2,"B"
"efic_4","5b57a0239c6a2f0818c225f70c64de20","107","B",423,2,"B"
"efic_5","5b57a0239c6a2f0818c225f70c64de20","107","B",425,2,"B"
"efic_5","ef0c502372f31a492b927f5d155be93b","1632","B",878,57,"B"
"esf_1","7b7b0ed285d09470388cd290d8412d86","1444","C",1163,38,"C"
"esf_1","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",492,7,"C"
"esf_1","8b36e349b41b3f2124b8a400b1a86c73","427","C",1310,12,"C"
"esf_1","d4016b359cf452bb9803d995573faa55","1366","C",1715,16,"C"
"esf_2","7b7b0ed285d09470388cd290d8412d86","1444","C",1173,10,"C"
"esf_2","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",542,50,"C"
"esf_2","8b36e349b41b3f2124b8a400b1a86c73","427","C",1364,54,"C"
"esf_2","d4016b359cf452bb9803d995573faa55","1366","C",1727,12,"C"
"esf_3","7b7b0ed285d09470388cd290d8412d86","1444","C",1184,11,"C"
"esf_3","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",553,11,"C"
"esf_3","8b36e349b41b3f2124b8a400b1a86c73","427","C",1380,16,"C"
"esf_3","d4016b359cf452bb9803d995573faa55","1366","C",1751,24,"C"
"esf_4","7b7b0ed285d09470388cd290d8412d86","1444","C",1211,27,"C"
"esf_4","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",566,13,"C"
"esf_4","8b36e349b41b3f2124b8a400b1a86c73","427","C",1390,10,"C"
"esf_4","d4016b359cf452bb9803d995573faa55","1366","C",1789,38,"C"
"esf_5","7b7b0ed285d09470388cd290d8412d86","1444","C",1218,7,"C"
"esf_5","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",574,8,"C"
"esf_5","8b36e349b41b3f2124b8a400b1a86c73","427","C",1399,9,"C"
"esf_5","d4016b359cf452bb9803d995573faa55","1366","C",1797,8,"C"
"gender","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1544,11,"Todos"
"gender","587ea63e15d02cdc5d5b7cf32863468f","945","A",893,17,"Todos"
"gender","5b57a0239c6a2f0818c225f70c64de20","107","B",515,7,"Todos"
"gender","65c8034d02597029fb8cb173566ee156","1806","A",986,27,"Todos"
"gender","78413d19dbb7f6391eb539df32d89434","1803","B",884,12,"Todos"
"gender","7b7b0ed285d09470388cd290d8412d86","1444","C",1315,21,"Todos"
"gender","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",704,75,"Todos"
"gender","8b36e349b41b3f2124b8a400b1a86c73","427","C",1477,17,"Todos"
"gender","c3d59c00b8aeaae726419f0892137791","821","A",866,13,"Todos"
"gender","d4016b359cf452bb9803d995573faa55","1366","C",1908,18,"Todos"
"gender","ef0c502372f31a492b927f5d155be93b","1632","B",1035,28,"Todos"
"gender","fe0a82c9f482f181091877895bee0721","98","A",794,6,"Todos"
"id_1","7b7b0ed285d09470388cd290d8412d86","1444","C",1064,32,"C"
"id_1","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",440,12,"C"
"id_1","8b36e349b41b3f2124b8a400b1a86c73","427","C",1190,13,"C"
"id_1","d4016b359cf452bb9803d995573faa55","1366","C",1502,15,"C"
"id_2","7b7b0ed285d09470388cd290d8412d86","1444","C",1069,5,"C"
"id_2","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",444,4,"C"
"id_2","8b36e349b41b3f2124b8a400b1a86c73","427","C",1196,6,"C"
"id_2","d4016b359cf452bb9803d995573faa55","1366","C",1511,9,"C"
"id_3","7b7b0ed285d09470388cd290d8412d86","1444","C",1097,28,"C"
"id_3","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",460,16,"C"
"id_3","8b36e349b41b3f2124b8a400b1a86c73","427","C",1207,11,"C"
"id_3","d4016b359cf452bb9803d995573faa55","1366","C",1520,9,"C"
"income","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1553,9,"Todos"
"income","587ea63e15d02cdc5d5b7cf32863468f","945","A",931,38,"Todos"
"income","5b57a0239c6a2f0818c225f70c64de20","107","B",532,17,"Todos"
"income","65c8034d02597029fb8cb173566ee156","1806","A",1078,92,"Todos"
"income","78413d19dbb7f6391eb539df32d89434","1803","B",898,14,"Todos"
"income","7b7b0ed285d09470388cd290d8412d86","1444","C",1332,17,"Todos"
"income","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",720,16,"Todos"
"income","8b36e349b41b3f2124b8a400b1a86c73","427","C",1505,28,"Todos"
"income","c3d59c00b8aeaae726419f0892137791","821","A",879,13,"Todos"
"income","d4016b359cf452bb9803d995573faa55","1366","C",1984,76,"Todos"
"income","ef0c502372f31a492b927f5d155be93b","1632","B",1066,31,"Todos"
"income","fe0a82c9f482f181091877895bee0721","98","A",797,3,"Todos"
"lucro_1","5b57a0239c6a2f0818c225f70c64de20","107","B",374,15,"B"
"lucro_1","78413d19dbb7f6391eb539df32d89434","1803","B",741,36,"B"
"lucro_1","ef0c502372f31a492b927f5d155be93b","1632","B",658,84,"B"
"lucro_2","5b57a0239c6a2f0818c225f70c64de20","107","B",379,5,"B"
"lucro_2","78413d19dbb7f6391eb539df32d89434","1803","B",744,3,"B"
"lucro_2","ef0c502372f31a492b927f5d155be93b","1632","B",661,3,"B"
"lucro_3","5b57a0239c6a2f0818c225f70c64de20","107","B",380,1,"B"
"lucro_3","78413d19dbb7f6391eb539df32d89434","1803","B",748,4,"B"
"lucro_3","ef0c502372f31a492b927f5d155be93b","1632","B",663,2,"B"
"manip_check","184c65d28b5fb5b7598a47fd38a2c28c","817","A",123,22,"Todos"
"manip_check","587ea63e15d02cdc5d5b7cf32863468f","945","A",246,25,"Todos"
"manip_check","5b57a0239c6a2f0818c225f70c64de20","107","B",124,13,"Todos"
"manip_check","65c8034d02597029fb8cb173566ee156","1806","A",273,34,"Todos"
"manip_check","78413d19dbb7f6391eb539df32d89434","1803","B",238,151,"Todos"
"manip_check","7b7b0ed285d09470388cd290d8412d86","1444","C",610,300,"Todos"
"manip_check","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",153,27,"Todos"
"manip_check","8b36e349b41b3f2124b8a400b1a86c73","427","C",282,29,"Todos"
"manip_check","c3d59c00b8aeaae726419f0892137791","821","A",316,59,"Todos"
"manip_check","d4016b359cf452bb9803d995573faa55","1366","C",399,104,"Todos"
"manip_check","ef0c502372f31a492b927f5d155be93b","1632","B",249,31,"Todos"
"manip_check","fe0a82c9f482f181091877895bee0721","98","A",68,12,"Todos"
"mj_1","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1175,27,"A"
"mj_1","587ea63e15d02cdc5d5b7cf32863468f","945","A",481,27,"A"
"mj_1","65c8034d02597029fb8cb173566ee156","1806","A",576,30,"A"
"mj_1","c3d59c00b8aeaae726419f0892137791","821","A",440,55,"A"
"mj_1","fe0a82c9f482f181091877895bee0721","98","A",109,41,"A"
"mj_2","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1187,12,"A"
"mj_2","587ea63e15d02cdc5d5b7cf32863468f","945","A",489,8,"A"
"mj_2","65c8034d02597029fb8cb173566ee156","1806","A",610,34,"A"
"mj_2","c3d59c00b8aeaae726419f0892137791","821","A",457,17,"A"
"mj_2","fe0a82c9f482f181091877895bee0721","98","A",114,5,"A"
"mj_3","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1194,7,"A"
"mj_3","587ea63e15d02cdc5d5b7cf32863468f","945","A",497,8,"A"
"mj_3","65c8034d02597029fb8cb173566ee156","1806","A",623,13,"A"
"mj_3","c3d59c00b8aeaae726419f0892137791","821","A",464,7,"A"
"mj_3","fe0a82c9f482f181091877895bee0721","98","A",396,282,"A"
"nec_1","7b7b0ed285d09470388cd290d8412d86","1444","C",1112,15,"C"
"nec_1","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",472,12,"C"
"nec_1","8b36e349b41b3f2124b8a400b1a86c73","427","C",1223,16,"C"
"nec_1","d4016b359cf452bb9803d995573faa55","1366","C",1637,117,"C"
"nec_2","7b7b0ed285d09470388cd290d8412d86","1444","C",1119,7,"C"
"nec_2","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",479,7,"C"
"nec_2","8b36e349b41b3f2124b8a400b1a86c73","427","C",1239,16,"C"
"nec_2","d4016b359cf452bb9803d995573faa55","1366","C",1668,31,"C"
"nec_3","7b7b0ed285d09470388cd290d8412d86","1444","C",1125,6,"C"
"nec_3","7c2d74be26d58128fdc7a8af7b4ffce7","59","C",485,6,"C"
"nec_3","8b36e349b41b3f2124b8a400b1a86c73","427","C",1298,59,"C"
"nec_3","d4016b359cf452bb9803d995573faa55","1366","C",1699,31,"C"
"neolib_1","5b57a0239c6a2f0818c225f70c64de20","107","B",480,33,"B"
"neolib_1","78413d19dbb7f6391eb539df32d89434","1803","B",854,55,"B"
"neolib_1","ef0c502372f31a492b927f5d155be93b","1632","B",952,74,"B"
"neolib_2","5b57a0239c6a2f0818c225f70c64de20","107","B",488,8,"B"
"neolib_2","78413d19dbb7f6391eb539df32d89434","1803","B",859,5,"B"
"neolib_2","ef0c502372f31a492b927f5d155be93b","1632","B",979,27,"B"
"neolib_3","5b57a0239c6a2f0818c225f70c64de20","107","B",494,6,"B"
"neolib_3","78413d19dbb7f6391eb539df32d89434","1803","B",866,7,"B"
"neolib_3","ef0c502372f31a492b927f5d155be93b","1632","B",998,19,"B"
"neolib_4","5b57a0239c6a2f0818c225f70c64de20","107","B",508,14,"B"
"neolib_4","78413d19dbb7f6391eb539df32d89434","1803","B",872,6,"B"
"neolib_4","ef0c502372f31a492b927f5d155be93b","1632","B",1007,9,"B"
"part_5","5b57a0239c6a2f0818c225f70c64de20","107","B",447,22,"B"
"pres_1","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1419,15,"A"
"pres_1","587ea63e15d02cdc5d5b7cf32863468f","945","A",752,20,"A"
"pres_1","65c8034d02597029fb8cb173566ee156","1806","A",828,38,"A"
"pres_1","c3d59c00b8aeaae726419f0892137791","821","A",731,10,"A"
"pres_1","fe0a82c9f482f181091877895bee0721","98","A",669,17,"A"
"pres_2","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1421,2,"A"
"pres_2","587ea63e15d02cdc5d5b7cf32863468f","945","A",755,3,"A"
"pres_2","65c8034d02597029fb8cb173566ee156","1806","A",831,3,"A"
"pres_2","c3d59c00b8aeaae726419f0892137791","821","A",735,4,"A"
"pres_2","fe0a82c9f482f181091877895bee0721","98","A",673,4,"A"
"pres_3","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1425,4,"A"
"pres_3","587ea63e15d02cdc5d5b7cf32863468f","945","A",758,3,"A"
"pres_3","65c8034d02597029fb8cb173566ee156","1806","A",839,8,"A"
"pres_3","c3d59c00b8aeaae726419f0892137791","821","A",737,2,"A"
"pres_3","fe0a82c9f482f181091877895bee0721","98","A",675,2,"A"
"pres_4","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1437,12,"A"
"pres_4","587ea63e15d02cdc5d5b7cf32863468f","945","A",769,11,"A"
"pres_4","65c8034d02597029fb8cb173566ee156","1806","A",847,8,"A"
"pres_4","c3d59c00b8aeaae726419f0892137791","821","A",763,26,"A"
"pres_4","fe0a82c9f482f181091877895bee0721","98","A",694,19,"A"
"pres_5","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1444,7,"A"
"pres_5","587ea63e15d02cdc5d5b7cf32863468f","945","A",771,2,"A"
"pres_5","65c8034d02597029fb8cb173566ee156","1806","A",852,5,"A"
"pres_5","c3d59c00b8aeaae726419f0892137791","821","A",767,4,"A"
"pres_5","fe0a82c9f482f181091877895bee0721","98","A",696,2,"A"
"pres_6","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1453,9,"A"
"pres_6","587ea63e15d02cdc5d5b7cf32863468f","945","A",776,5,"A"
"pres_6","65c8034d02597029fb8cb173566ee156","1806","A",856,4,"A"
"pres_6","c3d59c00b8aeaae726419f0892137791","821","A",769,2,"A"
"pres_6","fe0a82c9f482f181091877895bee0721","98","A",698,2,"A"
"proy_1","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1246,20,"A"
"proy_1","587ea63e15d02cdc5d5b7cf32863468f","945","A",530,7,"A"
"proy_1","65c8034d02597029fb8cb173566ee156","1806","A",660,10,"A"
"proy_1","c3d59c00b8aeaae726419f0892137791","821","A",576,14,"A"
"proy_1","fe0a82c9f482f181091877895bee0721","98","A",424,3,"A"
"proy_2","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1251,5,"A"
"proy_2","587ea63e15d02cdc5d5b7cf32863468f","945","A",534,4,"A"
"proy_2","65c8034d02597029fb8cb173566ee156","1806","A",667,7,"A"
"proy_2","c3d59c00b8aeaae726419f0892137791","821","A",581,5,"A"
"proy_2","fe0a82c9f482f181091877895bee0721","98","A",426,2,"A"
"rank_1","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1384,35,"A"
"rank_1","587ea63e15d02cdc5d5b7cf32863468f","945","A",633,46,"A"
"rank_1","65c8034d02597029fb8cb173566ee156","1806","A",780,32,"A"
"rank_1","c3d59c00b8aeaae726419f0892137791","821","A",700,34,"A"
"rank_1","fe0a82c9f482f181091877895bee0721","98","A",644,13,"A"
"rank_2","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1389,5,"A"
"rank_2","587ea63e15d02cdc5d5b7cf32863468f","945","A",642,9,"A"
"rank_2","65c8034d02597029fb8cb173566ee156","1806","A",782,2,"A"
"rank_2","c3d59c00b8aeaae726419f0892137791","821","A",704,4,"A"
"rank_2","fe0a82c9f482f181091877895bee0721","98","A",646,2,"A"
"rank_3","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1397,8,"A"
"rank_3","587ea63e15d02cdc5d5b7cf32863468f","945","A",722,80,"A"
"rank_3","65c8034d02597029fb8cb173566ee156","1806","A",785,3,"A"
"rank_3","c3d59c00b8aeaae726419f0892137791","821","A",707,3,"A"
"rank_3","fe0a82c9f482f181091877895bee0721","98","A",648,2,"A"
"rank_4","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1400,3,"A"
"rank_4","587ea63e15d02cdc5d5b7cf32863468f","945","A",726,4,"A"
"rank_4","65c8034d02597029fb8cb173566ee156","1806","A",788,3,"A"
"rank_4","c3d59c00b8aeaae726419f0892137791","821","A",717,10,"A"
"rank_4","fe0a82c9f482f181091877895bee0721","98","A",651,3,"A"
"rank_5","184c65d28b5fb5b7598a47fd38a2c28c","817","A",1404,4,"A"
"rank_5","587ea63e15d02cdc5d5b7cf32863468f","945","A",732,6,"A"
